iter	MultiClass
0	1.091124602
1	1.083785
2	1.076626366
3	1.071589817
4	1.066021507
5	1.060674492
6	1.055115686
7	1.051675662
8	1.047405253
9	1.043373355
10	1.039725928
11	1.035752511
12	1.03225549
13	1.029084664
14	1.026375688
15	1.023137465
16	1.020494146
17	1.01771254
18	1.015500975
19	1.013446752
20	1.01128404
21	1.008904507
22	1.006692743
23	1.004668363
24	1.003083033
25	1.001214807
26	0.99911293
27	0.9974373138
28	0.9958189123
29	0.9942664694
30	0.993007255
31	0.9917313595
32	0.9903271415
33	0.9887995419
34	0.9873704857
35	0.985943136
36	0.9848994853
37	0.983357921
38	0.9820884356
39	0.980722116
40	0.9796539102
41	0.9784244226
42	0.9772835399
43	0.9764151653
44	0.9753223575
45	0.9742297775
46	0.9731577397
47	0.972386522
48	0.9716618314
49	0.9707852419
50	0.9699217665
51	0.969163466
52	0.9681731109
53	0.9672338818
54	0.9665216987
55	0.9656854185
56	0.9648222714
57	0.9642967423
58	0.9637006559
59	0.9630486015
60	0.9625198138
61	0.9618259107
62	0.9609668053
63	0.9602908163
64	0.9596330297
65	0.9589705704
66	0.9581364291
67	0.9575032331
68	0.956915019
69	0.9564919935
70	0.9559361634
71	0.9550530065
72	0.9540170224
73	0.9534651032
74	0.9529401362
75	0.9524481831
76	0.9518682546
77	0.9510203899
78	0.950190985
79	0.9497097578
80	0.9490688451
81	0.9481722283
82	0.9475212329
83	0.946718522
84	0.9461850825
85	0.9458471798
86	0.9451384538
87	0.944455489
88	0.9438109347
89	0.9430910225
90	0.9424434866
91	0.941878503
92	0.9412332488
93	0.9405496102
94	0.9396116533
95	0.9387082663
96	0.9383881331
97	0.9379704099
98	0.9376527926
99	0.9369655268
100	0.9365342978
101	0.9360068702
102	0.9356482655
103	0.9353163736
104	0.9346566257
105	0.9342717766
106	0.9339449754
107	0.9335768554
108	0.933190278
109	0.9327368385
110	0.9321255485
111	0.9317689485
112	0.9314850422
113	0.931169524
114	0.9301876142
115	0.9293998034
116	0.9287847498
117	0.9280576011
118	0.9275161293
119	0.9268728112
120	0.9263579274
121	0.9256686037
122	0.9249440238
123	0.9244917838
124	0.9236095356
125	0.923260225
126	0.922521257
127	0.9217051291
128	0.9210916078
129	0.9207263109
130	0.9201324012
131	0.9194403299
132	0.9185361522
133	0.9180065832
134	0.9176455183
135	0.9174341915
136	0.9167993464
137	0.9163037887
138	0.9157722333
139	0.9152431288
140	0.9148318539
141	0.9142842834
142	0.9138932677
143	0.9134450143
144	0.9129134289
145	0.9124233385
146	0.9121011466
147	0.9118343401
148	0.9111971682
149	0.9103819891
150	0.909741368
151	0.9091220902
152	0.9086960053
153	0.9083016759
154	0.9073571787
155	0.9068460995
156	0.9063463775
157	0.9059711109
158	0.9053877385
159	0.9049723851
160	0.9044278849
161	0.9041218872
162	0.9036561434
163	0.9029534208
164	0.9023663313
165	0.9018813412
166	0.9012598177
167	0.9006355171
168	0.8999658334
169	0.8992868177
170	0.8986167062
171	0.8980682276
172	0.8974444286
173	0.8968391115
174	0.8963241478
175	0.8955488334
176	0.8948220467
177	0.8942627733
178	0.8938931649
179	0.8931669501
180	0.8927014439
181	0.8924096017
182	0.8920876103
183	0.8917315383
184	0.8913413142
185	0.8909210575
186	0.8904497296
187	0.8898546983
188	0.8894403176
189	0.8889651509
190	0.8885512826
191	0.8881223379
192	0.8877448024
193	0.887348798
194	0.8867257229
195	0.8862447648
196	0.8858347541
197	0.8855003099
198	0.8849017898
199	0.8841581329
