iter	Passed	Remaining
0	59	11794
1	61	6114
2	64	4221
3	66	3266
4	68	2688
5	71	2297
6	73	2024
7	75	1816
8	77	1655
9	79	1516
10	81	1408
11	84	1320
12	86	1243
13	88	1174
14	90	1113
15	92	1060
16	93	1011
17	95	967
18	97	928
19	100	900
20	101	869
21	103	838
22	105	811
23	107	786
24	108	762
25	110	741
26	112	721
27	114	702
28	116	686
29	118	670
30	120	654
31	121	638
32	123	624
33	125	611
34	127	599
35	129	587
36	130	576
37	132	565
38	134	555
39	136	545
40	137	534
41	139	525
42	141	516
43	143	508
44	145	500
45	147	493
46	149	485
47	150	477
48	152	471
49	154	463
50	156	456
51	158	450
52	160	443
53	161	437
54	163	431
55	165	426
56	167	420
57	169	415
58	171	409
59	173	404
60	175	399
61	177	394
62	179	389
63	181	384
64	182	379
65	185	375
66	186	371
67	188	366
68	190	362
69	192	357
70	194	353
71	196	349
72	198	345
73	200	340
74	201	336
75	203	332
76	205	327
77	206	323
78	208	319
79	210	315
80	212	312
81	214	308
82	216	304
83	218	301
84	220	297
85	221	293
86	223	290
87	225	286
88	227	283
89	229	280
90	230	276
91	232	273
92	234	269
93	235	266
94	237	263
95	240	260
96	241	256
97	243	253
98	245	250
99	247	247
100	249	244
101	251	241
102	253	238
103	255	235
104	257	232
105	259	229
106	260	226
107	262	223
108	265	221
109	267	218
110	269	215
111	270	212
112	272	209
113	274	207
114	276	204
115	278	201
116	279	198
117	281	195
118	283	193
119	285	190
120	287	187
121	289	185
122	291	182
123	293	179
124	295	177
125	297	174
126	299	172
127	301	169
128	303	166
129	304	164
130	306	161
131	308	158
132	310	156
133	312	153
134	314	151
135	315	148
136	317	146
137	319	143
138	321	141
139	323	138
140	325	136
141	327	133
142	329	131
143	331	128
144	333	126
145	335	123
146	337	121
147	338	119
148	340	116
149	342	114
150	344	111
151	346	109
152	348	107
153	350	104
154	352	102
155	354	99
156	356	97
157	358	95
158	360	92
159	361	90
160	363	88
161	365	85
162	367	83
163	369	81
164	371	78
165	373	76
166	375	74
167	377	71
168	379	69
169	381	67
170	383	65
171	385	62
172	387	60
173	389	58
174	390	55
175	392	53
176	394	51
177	396	48
178	398	46
179	400	44
180	402	42
181	404	40
182	406	37
183	408	35
184	409	33
185	412	31
186	413	28
187	415	26
188	417	24
189	419	22
190	421	19
191	423	17
192	425	15
193	427	13
194	428	10
195	430	8
196	432	6
197	434	4
198	436	2
199	438	0
